-115,-199,-70,156,-16,-129,-152,-437,-387,-370,-206,-138
-116,-192,-72,154,-19,-129,-68,-280,-264,-335,-202,-138
-117,-192,-73,154,-22,-130,-9,-145,-193,-294,-199,-143
-118,-191,-71,154,-22,-131,2,-44,-164,-254,-194,-145
-117,-188,-69,152,-23,-128,10,5,-164,-226,-187,-144
-114,-182,-67,148,-23,-125,15,6,-157,-210,-181,-143
-111,-176,-65,143,-22,-121,21,6,-144,-199,-175,-141
-107,-171,-63,138,-21,-116,28,11,-133,-191,-169,-138
-104,-166,-61,134,-20,-113,35,19,-125,-184,-165,-135
-100,-162,-59,130,-19,-110,40,28,-122,-180,-161,-133
-96,-157,-57,126,-18,-107,43,34,-117,-176,-158,-130
-90,-151,-55,120,-16,-101,46,40,-108,-168,-153,-126
-82,-140,-52,110,-13,-94,49,45,-92,-157,-147,-120
-71,-126,-48,97,-9,-85,53,55,-69,-140,-139,-111
-56,-107,-43,81,-5,-73,58,67,-38,-115,-126,-102
-40,-84,-37,61,0,-59,63,84,1,-84,-110,-88
-21,-56,-31,38,5,-43,69,104,47,-45,-90,-72
-1,-26,-24,12,11,-24,76,128,102,-3,-66,-55
20,4,-15,-13,17,-6,83,154,156,41,-40,-35
41,34,-8,-38,22,12,90,180,209,86,-13,-17
59,62,-1,-61,28,29,96,205,257,127,12,1
76,86,5,-82,32,44,101,228,301,164,36,17
91,108,11,-99,36,58,106,248,342,198,58,31
103,126,15,-114,40,68,110,265,376,226,76,43
112,139,18,-126,42,76,114,277,402,247,89,52
119,146,19,-132,44,79,116,284,417,262,98,57
120,148,19,-134,45,80,116,287,420,268,103,59
118,144,18,-131,44,78,115,287,411,263,104,57
110,134,16,-122,41,72,112,282,393,250,101,52
97,118,12,-108,37,62,107,273,362,227,93,44
81,97,8,-90,32,51,102,258,322,193,80,34
62,70,3,-67,25,35,94,238,272,151,62,20
39,40,-2,-40,19,18,87,214,212,102,39,4
